
[ALPHA] quantile curve head
entry_mode  delay_days  quantile  horizon_days  long_mean  short_mean  spread_mean  long_n  short_n
entry_mode  delay_days  horizon_days  spread_mean
next_close           0             1     0.000000
next_close           0             2     0.000864
next_close           0             3     0.002485
next_close           0             4     0.002403
next_close           0             5     0.001521
next_close           1             1     0.000000
next_close           1             2     0.001477
next_close           1             3     0.001487
next_close           1             4     0.000730
next_close           1             5     0.000323
next_close           2             1     0.000000
next_close           2             2     0.000158
next_close           2             3    -0.000538
next_close           2             4    -0.000909
next_close           2             5    -0.002181
 next_open           0             1     0.001145
 next_open           0             2     0.002083
 next_open           0             3     0.003809
 next_open           0             4     0.003697
 next_open           0             5     0.002762
 next_open           1             1     0.000748
 next_open           1             2     0.002309
 next_open           1             3     0.002284
 next_open           1             4     0.001487
 next_open           1             5     0.001128
 next_open           2             1     0.001085
 next_open           2             2     0.001208
 next_open           2             3     0.000525
 next_open           2             4     0.000132
 next_open           2             5    -0.001067
same_close           0             1     0.000000
same_close           0             2     0.000332
same_close           0             3     0.001246
same_close           0             4     0.002946
same_close           0             5     0.002913
same_close           1             1     0.000000
same_close           1             2     0.000864
same_close           1             3     0.002485
same_close           1             4     0.002403
same_close           1             5     0.001521
same_close           2             1     0.000000
same_close           2             2     0.001477
same_close           2             3     0.001487
same_close           2             4     0.000730
same_close           2             5     0.000323

[ALPHA] IC table
entry_mode  delay_days  horizon_days  ic_pearson_mean  ic_spearman_mean  n_days
 next_open           0             1         0.017919          0.006853     774
 next_open           0             2         0.017380          0.007796     773
 next_open           0             3         0.024225          0.013471     772
 next_open           0             4         0.020035          0.009247     771
 next_open           0             5         0.017607          0.006599     770
 next_open           1             1         0.013259          0.005217     773
 next_open           1             2         0.022033          0.014631     772
 next_open           1             3         0.017498          0.010969     771
 next_open           1             4         0.011452          0.003032     770
 next_open           1             5         0.006669          0.001786     769
 next_open           2             1         0.017653          0.011839     772
 next_open           2             2         0.009187          0.003945     771
 next_open           2             3         0.006521          0.001480     770
 next_open           2             4         0.003275         -0.000393     769
 next_open           2             5         0.001579         -0.000588     768
next_close           0             1              NaN               NaN     774
next_close           0             2         0.016079          0.006775     773
next_close           0             3         0.022919          0.015021     772
next_close           0             4         0.017571          0.010619     771
next_close           0             5         0.011681          0.003233     770
next_close           1             1              NaN               NaN     773
next_close           1             2         0.017373          0.014810     772
next_close           1             3         0.010840          0.005628     771
next_close           1             4         0.007259          0.001803     770
next_close           1             5         0.002843         -0.001504     769
next_close           2             1              NaN               NaN     772
next_close           2             2         0.001178         -0.002032     771
next_close           2             3        -0.002574         -0.006108     770
next_close           2             4        -0.003566         -0.006415     769
next_close           2             5        -0.002826         -0.005768     768
same_close           0             1              NaN               NaN     775
same_close           0             2         0.005603          0.001969     774
same_close           0             3         0.009891          0.003427     773
same_close           0             4         0.017728          0.009438     772
same_close           0             5         0.015656          0.006815     771
same_close           1             1              NaN               NaN     774
same_close           1             2         0.016079          0.006775     773
same_close           1             3         0.022919          0.015021     772
same_close           1             4         0.017571          0.010619     771
same_close           1             5         0.011681          0.003233     770
same_close           2             1              NaN               NaN     773
same_close           2             2         0.017373          0.014810     772
same_close           2             3         0.010840          0.005628     771
same_close           2             4         0.007259          0.001803     770
same_close           2             5         0.002843         -0.001504     769




----------------------------





entry_mode,delay_days,horizon_days,decile,mean_ret,n_obs
next_open,0,1,1,-0.0002636826933392093,7740
next_open,0,1,2,0.0002752317368275616,7740
next_open,0,1,3,0.00023218106667357395,6966
next_open,0,1,4,0.00017560465486948855,7740
next_open,0,1,5,0.00022516533404792863,7740
next_open,0,1,6,0.00038765091005784377,6966
next_open,0,1,7,0.0003536362777276219,7740
next_open,0,1,8,0.00046632358267870437,6966
next_open,0,1,9,0.0003826409821424634,7740
next_open,0,1,10,0.0008066993135702243,7740
next_open,0,2,1,-0.00038807243896167424,7730
next_open,0,2,2,0.000844993642792459,7730
next_open,0,2,3,0.0008769351922094359,6957
next_open,0,2,4,0.0007297799955403486,7730
next_open,0,2,5,0.0009390875967180049,7730
next_open,0,2,6,0.0012371685032624823,6957
next_open,0,2,7,0.0010080074445255474,7730
next_open,0,2,8,0.0011427902508049262,6957
next_open,0,2,9,0.0011712842213266294,7730
next_open,0,2,10,0.0018074037288050432,7730
next_open,0,3,1,-0.0007848381032141738,7720
next_open,0,3,2,0.0017216600844254743,7720
next_open,0,3,3,0.0012369407861373932,6948
next_open,0,3,4,0.0015874465531850756,7720
next_open,0,3,5,0.0016871412256912123,7720
next_open,0,3,6,0.0018501585362871496,6948
next_open,0,3,7,0.0016652542261624736,7720
next_open,0,3,8,0.002157495551523953,6948
next_open,0,3,9,0.002024795352790631,7720
next_open,0,3,10,0.002895505916488727,7720
next_open,0,4,1,-0.00013964868113697487,7710
next_open,0,4,2,0.002754580460954115,7710
next_open,0,4,3,0.0020422641425701478,6939
next_open,0,4,4,0.002289994356724943,7710
next_open,0,4,5,0.002072929444001139,7710
next_open,0,4,6,0.0022062431710957384,6939
next_open,0,4,7,0.002473015189575072,7710
next_open,0,4,8,0.002799988953863505,6939
next_open,0,4,9,0.0026456621792091666,7710
next_open,0,4,10,0.003345570670059993,7710
next_open,0,5,1,0.0007583133030487448,7700
next_open,0,5,2,0.0035697914538542633,7700
next_open,0,5,3,0.0028462144042685827,6930
next_open,0,5,4,0.0032603216924473534,7700
next_open,0,5,5,0.002480940152572529,7700
next_open,0,5,6,0.0028621449215529685,6930
next_open,0,5,7,0.003097158414959369,7700
next_open,0,5,8,0.0032923105678199375,6930
next_open,0,5,9,0.0030584764520870463,7700
next_open,0,5,10,0.0034513590733372197,7700
next_open,1,1,1,-0.00025843947483098,7730
next_open,1,1,2,0.0001708264753437109,7730
next_open,1,1,3,0.00034590915590371245,6957
next_open,1,1,4,0.00022817540336609406,7730
next_open,1,1,5,0.0003125123117790442,7730
next_open,1,1,6,0.0004180125508613381,6957
next_open,1,1,7,0.00048798843141286834,7730
next_open,1,1,8,0.00045344748341843223,6957
next_open,1,1,9,0.00029257787168333475,7730
next_open,1,1,10,0.0005581144586365326,7730
next_open,1,2,1,-0.000641973906088693,7720
next_open,1,2,2,0.0010192457704299464,7720
next_open,1,2,3,0.0006981410323890793,6948
next_open,1,2,4,0.0010675801043405608,7720
next_open,1,2,5,0.0010464185624383475,7720
next_open,1,2,6,0.0010055424591123069,6948
next_open,1,2,7,0.0011438923264603892,7720
next_open,1,2,8,0.0014197492067922468,6948
next_open,1,2,9,0.001124843117005608,7720
next_open,1,2,10,0.0015823768127617738,7720
