factor,horizon,ic,n_days,abs_ic
high_close_ret,fwd_5d,-0.008344764836227573,785,0.008344764836227573
body_vol,fwd_5d,-0.008338867672334854,777,0.008338867672334854
range_comp_5_20,fwd_1d,-0.008330660773734719,781,0.008330660773734719
mom3_x_volcomp,fwd_1d,-0.008320200894355036,780,0.008320200894355036
rev2,fwd_1d,0.00830610098678935,788,0.00830610098678935
ret2,fwd_1d,-0.00830610098678935,788,0.00830610098678935
rev1_x_volcomp,fwd_2d,0.008288542382191778,779,0.008288542382191778
gap_x_relvol,fwd_1d,-0.008178065236116833,781,0.008178065236116833
lower_wick,fwd_2d,0.00817671281363382,789,0.00817671281363382
vol20,fwd_2d,0.008114930644002592,779,0.008114930644002592
gap_fill_pressure,fwd_5d,0.008087393396062768,785,0.008087393396062768
accel_3_1,fwd_3d,-0.007829050719594877,785,0.007829050719594877
rev1,fwd_2d,0.0077991105495489686,788,0.0077991105495489686
cs_rev1_rank,fwd_2d,0.0077991105495489686,788,0.0077991105495489686
ret1,fwd_2d,-0.0077991105495489686,788,0.0077991105495489686
cs_ret_z,fwd_2d,-0.0077991105495489686,789,0.0077991105495489686
cs_gap_z,fwd_3d,0.007749315899455787,788,0.007749315899455787
gap_ret,fwd_3d,0.007749315899455786,787,0.007749315899455786
rev1_x_volcomp,fwd_3d,0.007724219286279211,778,0.007724219286279211
rev5,fwd_1d,0.0077098407726378555,787,0.0077098407726378555
cs_ret_z,fwd_5d,-0.007641382140634278,786,0.007641382140634278
rev1,fwd_5d,0.007641382140634276,785,0.007641382140634276
cs_rev1_rank,fwd_5d,0.007641382140634276,785,0.007641382140634276
ret1,fwd_5d,-0.007641382140634276,785,0.007641382140634276
dist_low_20,fwd_3d,0.00762701496150559,779,0.00762701496150559
exhaustion_down,fwd_5d,0.00761415115927564,777,0.00761415115927564
pressure_x_relvol,fwd_3d,-0.007594750512698849,779,0.007594750512698849
overnight_pressure,fwd_3d,0.007594121520201373,787,0.007594121520201373
ret5,fwd_1d,-0.007539261326579151,785,0.007539261326579151
mom5,fwd_1d,-0.007539261326579151,785,0.007539261326579151
cs_mom5_rank,fwd_1d,-0.007539261326579151,785,0.007539261326579151
high_close_ret,fwd_3d,-0.00749941429237723,787,0.00749941429237723
ema_stack_20_50,fwd_1d,0.007468053829641521,776,0.007468053829641521
gap_range_adj,fwd_1d,-0.007419585005630213,789,0.007419585005630213
rev2,fwd_2d,0.007418592496814483,787,0.007418592496814483
ret2,fwd_2d,-0.007418592496814483,787,0.007418592496814483
ret3,fwd_5d,-0.007415122399760251,783,0.007415122399760251
mom3,fwd_5d,-0.007415122399760251,783,0.007415122399760251
rev3,fwd_5d,0.007301312341024725,784,0.007301312341024725
gap_ret,fwd_2d,0.00729300382447529,788,0.00729300382447529
cs_gap_z,fwd_2d,0.00729300382447529,789,0.00729300382447529
